pheno,N,N_case,N_control,ldsc_int,ldsc_int_se,ldsc_h2,ldsc_h2_se,ldpred2_n_keep,ldpred2_h2,ldpred2_p
log_ALP,372982,,,1.12,0.0211,0.243,0.0478,29,0.194,0.0154
log_ALT,372830,,,1.05,0.0135,0.124,0.00716,28,0.118,0.00662
log_AST,371602,,,1.06,0.0162,0.115,0.00826,28,0.116,0.00537
log_basophil_perc,7768,,,1,0.00612,0.0383,0.0577,1,0.0332,0.0474
log_bilirubin,371423,,,1.04,0.0167,0.452,0.318,30,0.361,0.000481
log_BMI,389838,,,1.06,0.0162,0.252,0.00698,27,0.263,0.0428
log_creatinine_urine,379919,,,0.989,0.00888,0.0709,0.00284,24,0.0675,0.0269
log_creatinine,372783,,,1.1,0.0167,0.179,0.00847,29,0.189,0.0105
log_CRP,372157,,,1.07,0.0163,0.198,0.0322,29,0.197,0.0062
log_cystatinC,372939,,,1.09,0.0161,0.249,0.0672,30,0.233,0.00796
log_ECG_QRS_duration,33620,,,0.995,0.00788,0.176,0.0242,23,0.122,0.000695
log_eosinophil_perc,222884,,,1.02,0.0126,0.0868,0.00835,27,0.0771,0.00235
log_fat_free_mass,384231,,,1.16,0.0219,0.3,0.00964,29,0.334,0.0288
log_fat_mass,383636,,,1.06,0.0156,0.236,0.00633,27,0.248,0.0423
log_glucose,341068,,,1.03,0.0102,0.0652,0.00698,27,0.0544,0.00223
log_HbA1c,372844,,,1.09,0.0183,0.162,0.0116,29,0.174,0.00637
log_HDL,341318,,,1.1,0.0188,0.29,0.0581,30,0.278,0.00665
log_heel_BMD,224024,,,1.11,0.0156,0.286,0.0241,29,0.292,0.00649
log_heel_BUA,224053,,,1.1,0.0146,0.257,0.0208,29,0.261,0.00627
log_heel_SoS,224435,,,1.09,0.0148,0.256,0.0218,29,0.26,0.0061
log_hip_circ,390398,,,1.06,0.0155,0.22,0.00645,28,0.227,0.0331
log_HLR_reticulocyte,372372,,,1.1,0.0179,0.21,0.0147,29,0.223,0.00815
log_IGF1,370954,,,1.12,0.0192,0.218,0.0128,29,0.23,0.01
log_impedance,384089,,,1.09,0.0193,0.263,0.008,28,0.282,0.0332
log_leukocyte,379369,,,1.13,0.0203,0.186,0.0108,29,0.203,0.0113
log_lipoA,296748,,,1.02,0.0106,0.18,0.115,30,0.34,0.000229
log_log_gammaGT,372780,,,1.12,0.0169,0.206,0.0246,29,0.215,0.00619
log_lymphocyte,378601,,,1.13,0.0209,0.186,0.0116,29,0.2,0.00959
log_mean_carotid_IMT,36150,,,1,0.00974,0.245,0.0248,22,0.221,0.00367
log_microalbumin_urine,118108,,,1,0.00712,0.0344,0.005,9,0.0365,0.00586
log_monocyte,378607,,,1.15,0.0229,0.186,0.0174,29,0.202,0.00512
log_neutrophil,378544,,,1.1,0.0173,0.164,0.0116,29,0.174,0.00868
log_platelet_crit,379376,,,1.15,0.0211,0.212,0.0184,29,0.233,0.00672
log_platelet_volume,379424,,,1.18,0.0226,0.368,0.0456,30,0.392,0.00378
log_platelet_width,379424,,,1.12,0.022,0.223,0.0245,30,0.249,0.00336
log_platelet,379380,,,1.15,0.0213,0.258,0.0201,30,0.276,0.00622
log_potassium_urine,379095,,,0.991,0.00824,0.0462,0.00214,22,0.0435,0.0224
log_pulse_rate,365134,,,1.04,0.0134,0.151,0.00765,28,0.146,0.0105
log_reticulocyte,373106,,,1.1,0.0177,0.195,0.0131,29,0.209,0.00774
log_rheumatoid_factor,33144,,,0.987,0.00657,0.038,0.0155,6,0.0216,0.013
log_SHBG,337959,,,1.08,0.0157,0.246,0.0652,30,0.232,0.00488
log_sleep,387799,,,0.995,0.00954,0.0746,0.00299,24,0.0722,0.0285
log_triglycerides,372674,,,1.1,0.0184,0.203,0.0268,30,0.199,0.00622
log_urea,372717,,,1.05,0.0146,0.114,0.00593,28,0.114,0.00804
log_ventricular_rate,33819,,,1.01,0.00713,0.14,0.0184,19,0.146,0.00297
log_vitaminD,356607,,,1.02,0.0114,0.0912,0.018,29,0.0731,0.00212
log_waist_circ,390442,,,1.04,0.0146,0.207,0.00591,27,0.213,0.0398
log_water_mass,384262,,,1.15,0.022,0.3,0.00958,29,0.334,0.029
logMAR,99377,,,1,0.00657,0.0301,0.00545,14,0.029,0.00366
lymphocyte_perc,378466,,,1.12,0.0182,0.15,0.00964,29,0.163,0.00775
